'1989-01-02', 635, 'Alice', 'Zimmerman'
'1992-06-04', 335, 'Ariel', 'Ursa'
'1990-05-10', 338, 'Zariah', 'Yates'
'1992-06-05', 314, 'Bryan', 'Ursa'
'1990-01-01', 377, 'Aaron', 'Yates'
'1992-06-07', 333, 'Carl', 'Ursa'
'1992-06-09', 312, 'Dennis', 'Ursa'
'1992-07-01', 409, 'Earl', 'Ursa'
'1992-07-03', 445, 'Francis', 'Ursa'
'1992-07-05', 469, 'Gary', 'Ursa'
'1992-07-07', 465, 'Horus', 'Ursa'
'1992-07-08', 459, 'Holly', 'Ursa'
'1992-07-09', 443, 'Ian', 'Ursa'
'1992-07-02', 457, 'Elaine', 'Ursa'
'1992-08-01', 558, 'Jack', 'Ursa'
'1992-08-04', 514, 'Kelly', 'Ursa'
'1992-08-06', 529, 'Lily', 'Ursa'
'1990-03-10', 557, 'Nadine', 'Yates'
'1992-07-10', 563, 'Isabelle', 'Ursa'
'1992-08-08', 647, 'Marsella', 'Ursa'
'1991-05-09', 668, 'Zachary', 'Williams'
'1992-08-10', 644, 'Nadine', 'Ursa'
'1991-05-04', 646, 'Ulsana', 'Williams'
'1992-09-02', 637, 'Olivia', 'Ursa'
'1991-05-07', 679, 'Winston', 'Williams'
'1992-09-04', 638, 'Priscilla', 'Ursa'
'1992-09-05', 788, 'Randy', 'Ursa'
'1991-05-10', 752, 'Zariah', 'Williams'
'1991-06-06', 782, 'Brienne', 'Xavier'
'1992-09-08', 702, 'Rochelle', 'Ursa'
'1992-09-10', 779, 'Sarah', 'Ursa'
'1992-10-02', 738, 'Tania', 'Ursa'
'1992-10-04', 701, 'Ulsana', 'Ursa'
'1992-10-06', 715, 'Valerie', 'Ursa'
'1992-10-10', 832, 'Zariah', 'Ursa'
'1993-01-01', 815, 'Aaron', 'Tyrannis'
'1993-01-02', 816, 'Alice', 'Tyrannis'
'1993-01-03', 884, 'Alex', 'Tyrannis'
'1993-01-05', 827, 'Bryan', 'Tyrannis'
'1993-01-07', 885, 'Carl', 'Tyrannis'
'1993-01-08', 892, 'Caitlyn', 'Tyrannis'
'1993-01-06', 836, 'Brienne', 'Tyrannis'
'1993-01-10', 909, 'Deidre', 'Tyrannis'
'1993-02-01', 937, 'Earl', 'Tyrannis'
'1993-02-05', 904, 'Gary', 'Tyrannis'
'1993-02-06', 906, 'Genevieve', 'Tyrannis'
'1993-02-07', 991, 'Horus', 'Tyrannis'
'1993-02-08', 932, 'Holly', 'Tyrannis'
'1993-02-10', 1028, 'Isabelle', 'Tyrannis'
'1993-03-02', 1003, 'Jennifer', 'Tyrannis'
'1993-03-04', 1011, 'Kelly', 'Tyrannis'
'1993-03-07', 1078, 'Mark', 'Tyrannis'
'1990-05-01', 1148, 'Timothy', 'Yates'
'1993-03-09', 1107, 'Nick', 'Tyrannis'
'1993-03-10', 1127, 'Nadine', 'Tyrannis'
'1993-04-03', 1112, 'Patrick', 'Tyrannis'
'1993-04-02', 1139, 'Olivia', 'Tyrannis'
'1989-08-10', 1149, 'Nadine', 'Zane'
'1993-04-04', 1158, 'Priscilla', 'Tyrannis'
'1989-05-04', 1204, 'Ulsana', 'Zimmerman'
'1993-04-05', 1245, 'Randy', 'Tyrannis'
'1993-04-06', 1215, 'Rachel', 'Tyrannis'
'1993-04-09', 1268, 'Stanley', 'Tyrannis'
'1993-04-10', 1208, 'Sarah', 'Tyrannis'
'1991-09-03', 1207, 'Patrick', 'Xavier'
'1989-09-03', 1253, 'Patrick', 'Zane'
'1993-05-02', 1218, 'Tania', 'Tyrannis'
'1993-04-08', 1213, 'Rochelle', 'Tyrannis'
'1993-05-04', 1248, 'Ulsana', 'Tyrannis'
'1993-05-05', 1343, 'Victor', 'Tyrannis'
'1993-05-06', 1367, 'Valerie', 'Tyrannis'
'1993-05-07', 1353, 'Winston', 'Tyrannis'
'1991-01-10', 1323, 'Deidre', 'Williams'
'1993-05-08', 1372, 'Whitney', 'Tyrannis'
'1993-05-09', 1375, 'Zachary', 'Tyrannis'
'1991-10-04', 1363, 'Ulsana', 'Xavier'
'1993-06-02', 1438, 'Alice', 'Tory'
'1993-06-04', 1401, 'Ariel', 'Tory'
'1993-06-05', 1431, 'Bryan', 'Tory'
'1993-06-06', 1459, 'Brienne', 'Tory'
'1993-06-08', 1453, 'Caitlyn', 'Tory'
'1993-06-10', 1499, 'Deidre', 'Tory'
'1993-07-01', 1407, 'Earl', 'Tory'
'1992-01-01', 1522, 'Aaron', 'Valadine'
'1993-07-04', 1553, 'Fawn', 'Tory'
'1993-07-06', 1533, 'Genevieve', 'Tory'
'1993-07-07', 1503, 'Horus', 'Tory'
'1993-07-09', 1543, 'Ian', 'Tory'
'1993-07-08', 1529, 'Holly', 'Tory'
'1993-08-02', 1545, 'Jennifer', 'Tory'
'1993-08-04', 1563, 'Kelly', 'Tory'
'1993-08-08', 1651, 'Marsella', 'Tory'
'1993-08-10', 1668, 'Nadine', 'Tory'
'1993-09-01', 1653, 'Oren', 'Tory'
'1993-09-03', 1738, 'Patrick', 'Tory'
'1993-09-05', 1791, 'Randy', 'Tory'
'1989-08-04', 1721, 'Kelly', 'Zane'
'1993-09-02', 1782, 'Olivia', 'Tory'
'1992-02-04', 1762, 'Fawn', 'Valadine'
'1993-09-04', 1798, 'Priscilla', 'Tory'
'1993-10-01', 1824, 'Timothy', 'Tory'
'1993-10-02', 1863, 'Tania', 'Tory'
'1993-09-10', 1842, 'Sarah', 'Tory'
'1992-03-01', 1881, 'Jack', 'Valadine'
'1993-10-04', 1836, 'Ulsana', 'Tory'
'1993-10-05', 1916, 'Victor', 'Tory'
'1993-10-07', 1971, 'Winston', 'Tory'
'1989-05-08', 1984, 'Whitney', 'Zimmerman'
'1993-10-10', 1902, 'Zariah', 'Tory'
'1994-01-01', 1963, 'Aaron', 'Smith'
'1994-01-03', 1918, 'Alex', 'Smith'
'1994-01-05', 1944, 'Bryan', 'Smith'
'1994-01-08', 1913, 'Caitlyn', 'Smith'
'1994-01-02', 1991, 'Alice', 'Smith'
'1994-01-09', 1987, 'Dennis', 'Smith'
'1992-03-10', 2081, 'Nadine', 'Valadine'
'1994-02-02', 2055, 'Elaine', 'Smith'
'1994-02-03', 2053, 'Francis', 'Smith'
'1994-02-04', 2056, 'Fawn', 'Smith'
'1994-02-05', 2046, 'Gary', 'Smith'
'1994-02-06', 2001, 'Genevieve', 'Smith'
'1994-02-08', 2062, 'Holly', 'Smith'
'1992-10-05', 2173, 'Victor', 'Ursa'
'1994-03-03', 2129, 'Kingston', 'Smith'
'1994-03-05', 2132, 'Lucas', 'Smith'
'1994-03-07', 2114, 'Mark', 'Smith'
'1994-03-08', 2187, 'Marsella', 'Smith'
'1994-03-10', 2131, 'Nadine', 'Smith'
'1994-04-04', 1118, 'Priscilla', 'Smith'
'1994-04-05', 1642, 'Randy', 'Smith'
'1994-04-07', 1714, 'Ronald', 'Smith'
'1994-04-09', 2138, 'Stanley', 'Smith'
'1994-01-07', 1943, 'Carl', 'Smith'
'1989-06-05', 176, 'Bryan', 'Zane'
'1994-05-02', 152, 'Tania', 'Smith'
'1994-05-04', 171, 'Ulsana', 'Smith'
'1994-05-05', 143, 'Victor', 'Smith'
'1994-05-07', 192, 'Winston', 'Smith'
'1992-05-09', 266, 'Zachary', 'Valadine'
'1994-05-09', 217, 'Zachary', 'Smith'
'1994-06-01', 236, 'Aaron', 'Sortie'
'1994-06-02', 299, 'Alice', 'Sortie'
'1994-06-03', 247, 'Alex', 'Sortie'
'1989-08-06', 392, 'Lily', 'Zane'
'1994-06-04', 334, 'Ariel', 'Sortie'
'1991-03-10', 316, 'Nadine', 'Williams'
'1994-06-05', 315, 'Bryan', 'Sortie'
'1990-07-02', 391, 'Elaine', 'Walton'
'1994-06-07', 1025, 'Carl', 'Sortie'
'1994-06-08', 311, 'Caitlyn', 'Sortie'
'1994-06-09', 439, 'Dennis', 'Sortie'
'1994-07-01', 417, 'Earl', 'Sortie'
'1991-04-06', 404, 'Rachel', 'Williams'
'1994-07-05', 438, 'Gary', 'Sortie'
'1994-07-06', 478, 'Genevieve', 'Sortie'
'1991-04-04', 423, 'Priscilla', 'Williams'
'1990-02-06', 479, 'Genevieve', 'Yates'
'1994-07-09', 562, 'Ian', 'Sortie'
'1994-08-01', 566, 'Jack', 'Sortie'
'1994-08-03', 518, 'Kingston', 'Sortie'
'1991-05-03', 522, 'Ulrich', 'Williams'
'1994-08-04', 564, 'Kelly', 'Sortie'
'1994-08-05', 567, 'Lucas', 'Sortie'
'1989-01-05', 507, 'Bryan', 'Zimmerman'
'1994-08-06', 509, 'Lily', 'Sortie'
'1991-05-06', 622, 'Valerie', 'Williams'
'1994-08-08', 665, 'Marsella', 'Sortie'
'1990-09-02', 648, 'Olivia', 'Walton'
'1994-09-02', 677, 'Olivia', 'Sortie'
'1994-09-04', 759, 'Priscilla', 'Sortie'
'1994-09-05', 753, 'Randy', 'Sortie'
'1992-10-01', 706, 'Timothy', 'Ursa'
'1994-09-08', 745, 'Rochelle', 'Sortie'
'1994-09-09', 859, 'Stanley', 'Sortie'
'1994-10-01', 848, 'Timothy', 'Sortie'
'1994-10-02', 824, 'Tania', 'Sortie'
'1994-10-05', 964, 'Victor', 'Sortie'
'1994-10-07', 998, 'Winston', 'Sortie'
'1991-07-09', 941, 'Ian', 'Xavier'
'1993-03-08', 1007, 'Marsella', 'Tyrannis'
'1994-10-10', 1033, 'Zariah', 'Sortie'
'1995-01-02', 1077, 'Alice', 'Randall'
'1995-01-04', 1035, 'Ariel', 'Randall'
'1990-10-08', 1045, 'Whitney', 'Walton'
'1995-01-05', 1044, 'Bryan', 'Randall'
'1990-04-06', 1109, 'Rachel', 'Yates'
'1995-01-06', 1129, 'Brienne', 'Randall'
'1995-01-07', 1189, 'Carl', 'Randall'
'1995-01-09', 1128, 'Dennis', 'Randall'
'1995-01-10', 1177, 'Deidre', 'Randall'
'1990-03-04', 1145, 'Kelly', 'Yates'
'1991-09-09', 1239, 'Stanley', 'Xavier'
'1995-02-01', 1257, 'Earl', 'Randall'
'1991-10-06', 1393, 'Valerie', 'Xavier'
'1995-02-03', 1352, 'Francis', 'Randall'
'1995-02-04', 1394, 'Fawn', 'Randall'
'1995-02-05', 1313, 'Gary', 'Randall'
'1993-05-10', 1333, 'Zariah', 'Tyrannis'
'1995-02-07', 1415, 'Horus', 'Randall'
'1995-02-08', 1458, 'Holly', 'Randall'
'1995-02-09', 1427, 'Ian', 'Randall'
'1995-03-02', 1443, 'Jennifer', 'Randall'
'1993-07-10', 1515, 'Isabelle', 'Tory'
'1995-03-05', 1501, 'Lucas', 'Randall'
'1995-03-07', 1589, 'Mark', 'Randall'
'1995-03-09', 1538, 'Nick', 'Randall'
'1993-07-05', 1517, 'Gary', 'Tory'
'1990-03-06', 1641, 'Lily', 'Yates'
'1995-04-02', 1612, 'Olivia', 'Randall'
'1995-04-05', 1685, 'Randy', 'Randall'
'1995-04-07', 1636, 'Ronald', 'Randall'
'1995-04-08', 1729, 'Rochelle', 'Randall'
'1995-04-10', 1728, 'Sarah', 'Randall'
'1995-05-02', 1723, 'Tania', 'Randall'
'1989-05-02', 1783, 'Tania', 'Zimmerman'
'1992-02-06', 1754, 'Genevieve', 'Valadine'
'1989-09-02', 1794, 'Olivia', 'Zane'
'1995-05-05', 1753, 'Victor', 'Randall'
'1995-05-07', 1835, 'Winston', 'Randall'
'1992-03-04', 1837, 'Kelly', 'Valadine'
'1995-05-08', 1861, 'Whitney', 'Randall'
'1992-03-02', 1821, 'Jennifer', 'Valadine'
'1994-01-04', 1909, 'Ariel', 'Smith'
'1989-03-04', 1985, 'Kelly', 'Zimmerman'
'1990-08-02', 1962, 'Jennifer', 'Walton'
'1995-06-02', 1921, 'Alice', 'Remington'
'1995-06-03', 2091, 'Alex', 'Remington'
'1995-06-04', 2038, 'Ariel', 'Remington'
'1995-06-06', 2022, 'Brienne', 'Remington'
'1989-04-09', 2031, 'Stanley', 'Zimmerman'
'1995-06-07', 2093, 'Carl', 'Remington'
'1994-02-07', 2041, 'Horus', 'Smith'
'1995-07-01', 2107, 'Earl', 'Remington'
'1990-02-03', 2158, 'Francis', 'Yates'
'1995-07-02', 2141, 'Elaine', 'Remington'
'1995-05-09', 2143, 'Zachary', 'Randall'
'1995-07-04', 2142, 'Fawn', 'Remington'
'1990-09-07', 2136, 'Ronald', 'Walton'
'1992-04-07', 157, 'Ronald', 'Valadine'
'1994-05-10', 245, 'Zariah', 'Smith'
'1995-07-07', 201, 'Horus', 'Remington'
'1991-03-03', 295, 'Kingston', 'Williams'
'1994-08-10', 643, 'Nadine', 'Sortie'
'1994-08-07', 639, 'Mark', 'Sortie'
'1995-07-10', 743, 'Isabelle', 'Remington'
'1995-08-02', 855, 'Jennifer', 'Remington'
'1991-06-09', 853, 'Dennis', 'Xavier'
'1995-08-04', 979, 'Kelly', 'Remington'
'1995-08-06', 1079, 'Lily', 'Remington'
'1995-01-08', 1102, 'Caitlyn', 'Randall'
'1995-08-08', 1233, 'Marsella', 'Remington'
'1995-08-10', 1373, 'Nadine', 'Remington'
'1995-09-01', 1436, 'Oren', 'Remington'
'1995-09-02', 1595, 'Olivia', 'Remington'
'1992-01-05', 1505, 'Bryan', 'Valadine'
'1995-03-08', 1532, 'Marsella', 'Randall'
'1995-09-04', 1665, 'Priscilla', 'Remington'
'1995-09-06', 1796, 'Rachel', 'Remington'
'1995-09-07', 1788, 'Ronald', 'Remington'
'1995-09-08', 1747, 'Rochelle', 'Remington'
'1995-09-09', 1908, 'Stanley', 'Remington'
'1995-09-10', 1974, 'Sarah', 'Remington'
'1995-10-02', 2099, 'Tania', 'Remington'
'1989-01-01', 2004, 'Aaron', 'Zimmerman'
'1989-02-08', 2189, 'Holly', 'Zimmerman'
'1991-02-08', 166, 'Holly', 'Williams'
'1991-02-04', 156, 'Fawn', 'Williams'
'1995-10-06', 159, 'Valerie', 'Remington'
'1995-10-09', 265, 'Zachary', 'Remington'
'1996-01-02', 257, 'Alice', 'Rockswell'
'1996-01-03', 353, 'Alex', 'Rockswell'
'1992-06-06', 398, 'Brienne', 'Ursa'
'1992-06-08', 313, 'Caitlyn', 'Ursa'
'1996-01-07', 378, 'Carl', 'Rockswell'
'1996-01-06', 362, 'Brienne', 'Rockswell'
'1996-01-09', 456, 'Dennis', 'Rockswell'
'1994-07-03', 427, 'Francis', 'Sortie'
'1991-02-10', 451, 'Isabelle', 'Williams'
'1996-02-02', 416, 'Elaine', 'Rockswell'
'1992-07-04', 437, 'Fawn', 'Ursa'
'1992-06-10', 424, 'Deidre', 'Ursa'
'1996-02-03', 441, 'Francis', 'Rockswell'
'1989-03-09', 477, 'Nick', 'Zimmerman'
'1994-08-02', 517, 'Jennifer', 'Sortie'
'1996-02-06', 565, 'Genevieve', 'Rockswell'
'1992-08-02', 504, 'Jennifer', 'Ursa'
'1996-02-08', 524, 'Holly', 'Rockswell'
'1996-02-10', 628, 'Isabelle', 'Rockswell'
'1996-03-01', 766, 'Jack', 'Rockswell'
'1996-03-02', 724, 'Jennifer', 'Rockswell'
'1991-06-02', 717, 'Alice', 'Xavier'
'1996-03-04', 773, 'Kelly', 'Rockswell'
'1996-03-05', 737, 'Lucas', 'Rockswell'
'1992-10-03', 764, 'Ulrich', 'Ursa'
'1992-10-09', 722, 'Zachary', 'Ursa'
'1996-03-06', 895, 'Lily', 'Rockswell'
'1996-03-07', 857, 'Mark', 'Rockswell'
'1996-03-08', 839, 'Marsella', 'Rockswell'
'1996-03-09', 858, 'Nick', 'Rockswell'
'1993-01-09', 847, 'Dennis', 'Tyrannis'
'1996-04-02', 804, 'Olivia', 'Rockswell'
'1996-04-03', 938, 'Patrick', 'Rockswell'
'1996-04-04', 948, 'Priscilla', 'Rockswell'
'1996-04-05', 1005, 'Randy', 'Rockswell'
'1995-01-03', 1034, 'Alex', 'Randall'
'1996-04-06', 1037, 'Rachel', 'Rockswell'
'1994-10-09', 1015, 'Zachary', 'Sortie'
'1993-03-06', 1017, 'Lily', 'Tyrannis'
'1996-05-01', 1126, 'Timothy', 'Rockswell'
'1996-05-02', 1115, 'Tania', 'Rockswell'
'1993-05-01', 1232, 'Timothy', 'Tyrannis'
'1991-09-05', 1249, 'Randy', 'Xavier'
'1996-05-05', 1293, 'Victor', 'Rockswell'
'1996-05-06', 1242, 'Valerie', 'Rockswell'
'1996-05-07', 1362, 'Winston', 'Rockswell'
'1996-05-08', 1371, 'Whitney', 'Rockswell'
'1995-02-06', 1303, 'Genevieve', 'Randall'
'1989-04-07', 1361, 'Ronald', 'Zimmerman'
'1996-05-09', 1409, 'Zachary', 'Rockswell'
'1990-09-03', 1469, 'Patrick', 'Walton'
'1996-06-02', 1432, 'Alice', 'Quentin'
'1995-02-10', 1435, 'Isabelle', 'Randall'
'1996-06-04', 1479, 'Ariel', 'Quentin'
